BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2014;010000024;010780054;1;1;0;0;0;010780054;0;1;252;336;252;2;2;;;1340;442;160;;;;1782;448;156;3;40;249;892;60;219;710;182;225891;221643;215582;121685;94457;52295;329;168;161;622;1;0;0;4088;1
SMURSAMU;2014;010000032;010780062;1;1;0;0;0;;0;0;168;129;128;0;1;0;0;455;85;0;0;6;0;546;210;71;2;32;86;327;45;141;224;103;;;;;;;;;;;;;;;
SMURSAMU;2014;010005239;010008407;1;1;0;0;0;;0;0;10;10;84;;;;;426;56;;;;;482;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;010780203;010006450;1;1;0;0;0;;0;0;168;168;168;2;1;;;709;5;;;;;714;148;85;;63;;547;57;98;288;259;;;;;;;;;;;;;;;
SMURSAMU;2014;020000089;020000022;1;0;0;0;1;020000063;0;0;8760;8760;0;;;;;544;;;;;;544;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;020000162;020000063;1;1;0;0;0;;0;0;504;168;360;2;2;0;0;1878;513;103;0;41;0;2432;459;72;11;174;279;1323;136;222;1253;70;;;;;;;;;;;;;;;
SMURSAMU;2014;020000394;020000253;1;1;0;0;0;020000394;0;1;336;336;336;2;2;0;0;1376;496;0;85;234;0;2191;553;123;30;58;327;1004;62;234;796;208;299973;287502;241127;103003;95834;19822;248;168;80;336;1;0;0;3882;0
SMURSAMU;2014;020000519;020000261;1;1;0;0;0;;0;0;168;168;0;;1;;;824;;;;;;824;318;106;6;78;128;528;78;152;511;17;;;;;;;;;;;;;;;
SMURSAMU;2014;020000535;020000287;1;1;0;0;0;020000287;0;0;399;179;179;1;1;;;665;;;;;;665;279;87;2;6;184;386;30;70;311;75;;;;;;;;;;;;;;;
SMURSAMU;2014;020001061;020004404;1;1;0;0;0;;0;0;168;168;140;1;1;0;0;726;182;0;0;0;0;908;114;73;7;13;21;640;52;185;555;85;;;;;;;;;;;;;;;
SMURSAMU;2014;020001087;020004495;1;1;0;0;0;;0;0;168;406;168;;1;;;625;4;0;;;;629;202;73;;53;202;541;87;144;294;247;;;;;;;;;;;;;;;
SMURSAMU;2014;030000061;030780092;1;1;0;0;0;030780092;0;1;336;352;224;2;2;0;0;1237;257;0;34;15;0;1543;570;127;8;259;176;885;71;174;748;137;241259;238615;;90753;57096;33657;272;168;104;660;1;1;2;836;0
SMURSAMU;2014;030000079;030780100;1;1;0;0;0;;0;0;336;390;350;;;;;1181;526;;;;;1707;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;030000087;030780118;1;1;0;0;0;;0;0;337;337;337;2;2;0;0;1573;221;;14;25;;1833;550;165;173;;173;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;040000093;040780215;1;1;0;0;0;;0;0;168;168;168;;2;;;688;111;;;;;799;26;29;;27;;688;56;133;670;18;;;;;;;;;;;;;;;
SMURSAMU;2014;040000135;050002948;1;1;0;0;0;050002948;0;0;336;434;0;0;1;0;0;316;46;;3;3;0;368;67;55;3;9;0;295;10;118;199;96;;;;;;;;;;;;;;;
SMURSAMU;2014;040000911;040788879;1;1;0;0;0;;0;1;168;168;168;1;2;0;0;385;22;;191;29;;627;32;31;1;;;517;;;370;147;62640;62530;;38835;38335;10262;168;168;115;200;1;0;0;150;0
SMURSAMU;2014;050000231;050000116;1;1;0;0;0;050000116;0;0;124;168;0;0;2;0;0;210;;;249;;;459;10;;;;;459;;;419;40;;;;;;;;;;;;;;;
SMURSAMU;2014;050000348;050002948;1;1;0;0;0;050002948;0;1;336;175;0;;3;1;0;913;264;18;253;183;0;1613;287;96;9;8;174;1418;48;171;545;873;161407;159420;153802;56115;29903;9857;264;168;96;204;1;1;25;272;0
SMURSAMU;2014;060000478;060780897;1;1;0;0;0;;0;0;168;19;0;;1;;;899;128;;;;;1027;321;90;117;28;86;782;18;132;455;327;;;;;;;;;;;;;;;
SMURSAMU;2014;060000510;060780954;1;1;0;0;0;060780954;0;0;168;168;0;1;0;0;0;1469;57;0;0;0;0;1526;418;86;1;153;178;1051;48;300;694;357;;;;;;;;;;;;;;;
SMURSAMU;2014;060000544;060780988;1;1;0;0;0;060780988;0;0;168;177;168;2;;;;1388;48;;;;;1436;371;137;2;64;168;1017;;;876;141;;;;;;;;;;;;;;;
SMURSAMU;2014;060001450;060785011;1;1;0;0;0;;0;1;525;588;588;3;4;1;0;4108;2600;0;225;206;0;7139;689;210;4;75;18172;3419;;;2236;1183;338105;338105;;211080;173941;51723;530;322;208;840;1;0;7;3567;0
SMURSAMU;2014;060002102;060791761;1;0;0;0;1;;0;0;168;168;168;;1;;;576;53;;;;;629;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;060789195;060785011;1;1;0;1;0;060001450;0;0;48;84;0;;;;;0;202;129;;49;;251;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;070000013;070002878;1;1;0;0;0;;0;1;168;168;0;;;;;404;10;;;;;414;88;61;2;5;88;354;16;78;250;104;107440;91260;83070;99918;67249;24546;284;165;119;304;1;0;57;730;1
SMURSAMU;2014;070000179;070780358;1;1;0;0;0;070780358;0;0;168;168;0;;1;;;482;10;;;;;492;103;47;9;10;37;416;32;103;410;6;;;;;;;;;;;;;;;
SMURSAMU;2014;070000609;070005566;1;1;0;0;0;;0;0;168;168;168;;;;;560;46;;;;;606;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;080000110;080000037;1;1;0;0;0;;0;0;168;169;169;1;1;;;754;2;;;;;756;101;75;1;21;4;653;16;35;568;85;;;;;;;;;;;;;;;
SMURSAMU;2014;080000219;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;456;5;0;;;;461;60;38;8;12;0;347;15;50;307;40;;;;;;;;;;;;;;;
SMURSAMU;2014;080000276;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;306;43;0;0;0;0;349;83;14;2;25;0;288;21;82;264;24;;;;;;;;;;;;;;;
SMURSAMU;2014;080000425;080000615;1;1;0;0;0;080000615;0;1;336;178;357;2;1;0;0;1719;500;;;38;;2257;623;144;15;176;272;1029;;;885;144;;118109;;87705;31054;0;168;0;0;268;0;0;0;673;0
SMURSAMU;2014;080009814;080000615;1;0;0;0;1;080000615;0;0;168;168;168;0;1;0;0;631;29;;;;;660;26;46;;40;;510;27;97;290;220;;;;;;;;;;;;;;;
SMURSAMU;2014;090000175;090781774;1;1;0;0;0;;0;1;204;168;168;1;2;0;0;1096;323;;164;;;1583;220;123;6;60;;1036;76;154;789;247;112151;112151;;30076;21908;8168;168;;20;168;1;1;0;661;1
SMURSAMU;2014;090000183;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;;;319;177;;;;;496;147;43;0;16;81;253;;;229;24;;;;;;;;;;;;;;;
SMURSAMU;2014;100000090;100000017;1;1;0;0;0;100000017;0;1;336;336;372;2;3;0;0;1540;449;;;;;1989;931;217;12;355;347;980;118;108;929;51;;134211;;88518;48489;8683;168;168;48;364;1;0;11;926;0
