BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO;SEJ0_NEO;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANS3;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2014;010000024;010780054;NIV2;;43;15;6;;5;2728;180;384;36;210;23;0;0;11784;4738;1586;0;2203;10382;400;2942;13;2146;2;57;7;16;;2263;2733;9510;;21;0;1;627;633;457;33;;31;0;0
PERINAT;2014;010000032;010780062;NIV1;;12;;;;2;618;62;0;0;0;0;0;0;2170;0;0;0;469;1945;74;438;0;466;0;3;1;7;7;475;2326;2535;7;5;0;1;117;138;78;8;0;5;0;0
PERINAT;2014;010005239;010008407;NIV1;;21;;;;3;876;82;0;0;0;0;0;0;3229;0;0;0;646;2877;138;828;0;642;0;4;3;7;;650;6990;5771;400;10;0;1;179;189;109;8;;0;0;0
PERINAT;2014;010780203;010006450;NIV1;;15;;;;3;1187;131;0;0;0;0;0;0;4167;0;0;0;904;3797;167;957;0;899;0;5;1;0;;909;;;;13;0;0;0;;0;0;;1;0;0
PERINAT;2014;020000089;020000022;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;602;587;16;;;0;;;;;;;0;
PERINAT;2014;020000162;020000063;NIV2;;38;15;6;0;4;1914;177;489;11;353;12;0;0;8413;5041;2444;0;1317;6966;344;2427;14;1292;1;25;7;7;;1345;19522;28674;0;11;0;1;380;400;216;13;2;20;0;0
PERINAT;2014;020000394;020000253;NIV2;;24;10;4;;3;1476;114;373;20;101;13;0;0;5751;2485;557;0;961;4825;180;1314;2;947;1;14;8;7;;984;6884;8144;234;11;0;1;240;213;187;22;;6;0;0
PERINAT;2014;020000519;020000261;NIV2;;35;12;6;;3;1963;284;338;20;131;11;0;0;7286;2404;695;0;1217;6087;206;1393;1;1200;0;17;6;1;;1234;16028;2139;;10;0;1;348;378;253;30;2;7;0;0
PERINAT;2014;020000535;020000287;NIV1;;16;;;;3;968;48;0;0;0;0;0;0;4603;0;0;0;711;3877;135;1002;0;705;0;6;3;5;0;724;17447;2378;90;5;0;1;259;275;154;17;0;4;0;0
PERINAT;2014;020001061;020004404;NIV2;;17;6;;;3;918;51;232;6;0;0;0;0;4205;1211;0;0;651;3374;129;905;0;645;0;6;1;4;0;662;7952;4962;46;6;0;1;115;113;40;7;1;7;0;0
PERINAT;2014;020001087;020004495;NIV1;;1;;;;;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;15;14;0;;0;0;0
PERINAT;2014;020010047;020001632;NIV1;;20;;;;4;1083;112;0;0;0;0;0;0;4061;0;0;0;756;3527;220;1211;0;749;0;7;2;4;;763;;;;1;0;0;0;;0;0;1;2;0;0
PERINAT;2014;030000061;030780092;NIV2;;23;6;;;4;1513;97;196;9;0;0;0;0;6675;1554;0;0;1184;6155;262;1676;4;1175;2;9;4;6;;1193;9697;8632;872;10;0;1;171;219;92;7;0;7;0;0
PERINAT;2014;030000079;030780100;NIV2;;24;6;6;;3;1456;86;242;8;60;4;0;0;5599;2380;376;0;1178;5080;153;884;0;1155;0;23;15;5;;1201;1909;4621;;16;0;1;279;247;171;18;;9;0;0
PERINAT;2014;030000087;030780118;NIV2;;24;6;;;;1506;111;163;10;0;0;0;0;5423;1462;0;0;1168;4907;197;1108;1;1160;0;8;8;4;;1182;17807;5430;;18;2;1;239;245;71;14;1;3;0;0
PERINAT;2014;030780548;030000194;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;3;11;0;0;;1;0;0
PERINAT;2014;030781116;030000426;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;23;41;0;4;;4;0;0
PERINAT;2014;040000093;040780215;NIV1;;18;;;;2;1162;98;0;0;0;0;0;0;4537;0;0;0;814;3746;181;1116;0;806;1;8;8;4;;833;5512;5588;;36;0;1;281;330;181;2;;3;0;0
PERINAT;2014;040000135;050002948;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;354;778;;;;0;;;;;;;0;
PERINAT;2014;040000911;040788879;NIV1;;15;;;;2;703;110;0;0;0;0;0;0;2506;0;0;0;401;1999;127;829;0;398;0;3;4;12;5;404;;;15;12;0;1;203;146;115;3;1;1;0;0
PERINAT;2014;050000231;050000116;NIV1;;12;;;;2;487;44;0;0;0;0;0;0;1825;0;0;0;374;1728;66;443;0;372;0;2;4;1;;376;4270;3304;;11;1;1;96;100;69;1;0;1;0;0
PERINAT;2014;050000348;050002948;NIV2;;17;4;0;0;3;1502;93;205;10;0;0;0;0;6409;1366;0;0;1091;5418;219;1655;7;1078;1;13;10;7;0;1104;16612;5088;116;16;0;1;204;243;57;18;8;5;0;0
PERINAT;2014;060000478;060780897;NIV2;;32;9;3;;6;2004;99;207;14;41;3;0;0;8554;1761;312;0;1653;7823;229;1468;0;1622;1;31;7;3;;1686;18441;6694;666;27;0;1;384;406;243;33;13;4;0;0
