BOR;AN;FI;GRP;RS;FI_ET;RS_ET
ST;2014;010007987;02;CH PUBLIC HAUTEVILLE;010000180;CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE
ST;2014;010007987;02;CH PUBLIC HAUTEVILLE;010000198;CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.
ST;2014;010007987;02;CH PUBLIC HAUTEVILLE;010000214;CH PUBLIC HAUTEVILLE UNITÉ ALBARINE
ST;2014;010008407;02;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY SITE GEOVREISSET
ST;2014;010008407;02;CH DU HAUT BUGEY;010786259;USLD CH NANTUA
ST;2014;010008407;02;CH DU HAUT BUGEY;010789717;USLD CH OYONNAX
ST;2014;010009132;02;CTRE HOSP INTERCOM AIN VAL DE SAONE;010000115;CENTRE HOSPITALIER  PONT-DE-VEYLE
ST;2014;010009132;02;CTRE HOSP INTERCOM AIN VAL DE SAONE;010000131;CENTRE HOSPITALIER  THOISSEY
ST;2014;010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CH FLEYRIAT
ST;2014;010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010009314;SSR HÔTEL DIEU
ST;2014;010780054;02;CH DE BOURG EN BRESSE FLEYRIAT;010009702;ESLD RÉSIDENCE ÉMILE PÉLICAND
ST;2014;010780062;02;CH DOCTEUR RÉCAMIER;010000032;CH DOCTEUR RECAMIER BELLEY
ST;2014;010780096;02;CH DE MONTPENSIER TRÉVOUX;010000065;CH MONTPENSIER TREVOUX
ST;2014;010780112;02;CENTRE HOSPITALIER DU PAYS DE GEX;010000081;CENTRE HOSPITALIER DU PAYS DE GEX
ST;2014;010780120;02;CH DE MEXIMIEUX;010000099;CH DE MEXIMIEUX
ST;2014;010780138;02;CH DE PONT DE VAUX;010000107;CH DE PONT DE VAUX
ST;2014;020000022;02;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE
ST;2014;020000048;02;CENTRE HOSPITALIER GERONTOLOGIQUE;020000097;CH LA FÈRE
ST;2014;020000055;02;CH NOUVION EN THIERACHE;020000105;CH LE NOUVION-EN-THIÉRACHE
ST;2014;020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CENTRE HOSPITALIER DE SAINT-QUENTIN
ST;2014;020000063;02;CENTRE HOSPITALIER DE SAINT QUENTIN;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN
ST;2014;020000071;02;CENTRE HOSPITALIER DE VERVINS;020000246;CH VERVINS
ST;2014;020000253;02;CH DE LAON;020000394;CENTRE HOSPITALIER DE LAON
ST;2014;020000253;02;CH DE LAON;020003877;CENTRE DE MOYEN SEJOUR CH LAON
ST;2014;020000253;02;CH DE LAON;020005476;USLD CH LAON
ST;2014;020000261;02;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS
ST;2014;020000261;02;CENTRE HOSPITALIER DE SOISSONS;020004677;USLD CH SOISSONS
ST;2014;020000287;02;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY
ST;2014;020000295;02;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE
ST;2014;020002085;02;MAISON DE SANTÉ DE BOHAIN;020009684;USLD MS BOHAIN-EN-VERMANDOIS
ST;2014;020003620;02;CRF JACQUES FICHEUX;020000915;CRF JACQUES FICHEUX SAINT-GOBAIN
ST;2014;020004404;02;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CENTRE HOSPITALIER JEANNE DE NAVARRE
ST;2014;020004495;02;CENTRE HOSPITALIER D'HIRSON;020001087;CH HIRSON
ST;2014;030002158;02;CH DPT COEUR DU BOURBONNAIS;030002208;CH DPT COEUR DU BOURBONNAIS
ST;2014;030005821;08;SCP - CENTRE DE RADIOTHERAPIE -;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT
ST;2014;030180020;02;CH DE NERIS LES BAINS;030000012;CH DE NERIS LES BAINS
ST;2014;030780092;02;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CENTRE HOSPITALIER MOULINS YZEURE
ST;2014;030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON
ST;2014;030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030781637;SERVICE DE PSYCHIATRIE CHATELARD
ST;2014;030780118;02;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY
ST;2014;030780126;02;CH DE BOURBON L'ARCHAMBAULT;030000095;CH BOURBON L'ARCHAMBAULT
ST;2014;030780282;02;CENTRE HOSPITALIER SPECIALISE;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY
ST;2014;040780124;02;EPS DIEUDONNE COLLOMP DE BANON;040000028;HOPITAL DIEUDONNE COLLOMP BANON
ST;2014;040780132;02;EPS PIERRE GROUES DE BARCELONNETTE;040000036;CENTRE HOSPITALIER PIERRE GROUES DE BARCELONNETTE
ST;2014;040780140;02;EPS DUCELIA;040000044;ETABLISSEMENT PUBLIC DE SANTE
ST;2014;040780173;02;EPS LE PARC DE GLANDEVES D'ENTREVAUX;040000051;HOPITAL LOCAL GLANDEVES D'ENTREVAUX
ST;2014;040780181;02;EPS SAINT MICHEL DE FORCALQUIER;040000069;HOPITAL LOCAL ST MICHEL DE FORCALQUIER
ST;2014;040780199;02;CH SAINTE ANNE DE JAUSIERS;040000077;HOPITAL LOCAL SAINTE ANNE DE JAUSIERS
ST;2014;040780207;02;EPS LES MEES;040000085;HOPITAL LOCAL LES MEES
ST;2014;040780215;02;CENTRE HOSPITALIER DE MANOSQUE;040000093;CENTRE HOSPITALIER DE MANOSQUE
ST;2014;040780231;02;EPS LUMIERE DE RIEZ;040000119;HOPITAL LOCAL LUMIERE DE RIEZ
ST;2014;040780249;02;EPS VALLEE DE LA BLANCHE;040000127;Etablissement Public de Santé Vallée de la Blanche
ST;2014;040788879;02;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS
ST;2014;050000108;02;CENTRE HOSPITALIER D'AIGUILLES;050000223;CENTRE HOSPITALIER D'AIGUILLES
ST;2014;050000116;02;CH DES ESCARTONS DE BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON
ST;2014;050000124;02;CENTRE HOSPITALIER D'EMBRUN;050000256;CENTRE HOSPITALIER D'EMBRUN
ST;2014;050002948;02;CHI DES ALPES DU SUD;040000135;SITE DE SISTERON
ST;2014;050002948;02;CHI DES ALPES DU SUD;050000348;SITE DE GAP
ST;2014;050002948;02;CHI DES ALPES DU SUD;050006436;MEDECINE GERIATRIQUE SITE GAP ADRET
ST;2014;050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000132;CH BUECH DURANCE SIEGE
ST;2014;050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000330;CHABRE COURT SEJOUR SSR
ST;2014;060003621;08;CENTRE HAUTE ENERGIE;060021342;CENTRE DE HAUTE ENERGIE
ST;2014;060006889;02;HOPITAUX DE LA VESUBIE;060000536;HOPITAUX DE LA VESUBIE
ST;2014;060019551;08;SELARL CENTRE AZUREEN DE CANCEROLOGIE;060019627;CENTRE AZUREEN CANCEROLOGIE
ST;2014;060022951;06;CENTRE DE NEPHROLOGIE;060792926;HEMODIALYSE DE LA  RIVIERA
ST;2014;060780327;02;CH SAINT MAUR SAINT ETIENNE TINEE;060000163;HOPITAL LOCAL ST MAUR ST ETIENNE TINEE
ST;2014;060780657;02;CENTRE HOSPITALIER DE BREIL SUR ROYA;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA
ST;2014;060780780;02;CH DU PAYS DE LA ROUDOULE A PUGET;060000411;HL DU PAYS DE LA ROUDOULE A PUGET
ST;2014;060780814;02;CTRE REEDUC CARDIO RESP VAL GORBIO;060000445;CTRE REEDUC CARDIO RESP VAL GORBIO
ST;2014;060780897;02;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE
ST;2014;060780897;02;CENTRE HOSPITALIER DE GRASSE;060790680;CH DE GRASSE CENTRE DE LONG SEJOUR
ST;2014;060780905;02;CH SAINT ELOI DE SOSPEL;060000486;HOPITAL LOCAL SAINT ELOI DE SOSPEL
ST;2014;060780921;02;CH SAINT LAZARE DE TENDE;060000494;HOPITAL LOCAL SAINT LAZARE DE TENDE
ST;2014;060780954;02;CH D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS
ST;2014;060780962;08;CENTRE ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE
ST;2014;060780988;02;CH PIERRE NOUVEAU CANNES;060000544;CH PIERRE NOUVEAU CANNES
ST;2014;060780988;02;CH PIERRE NOUVEAU CANNES;060794021;CH PIERRE NOUVEAU CTRE MOY SEJ CANNES
ST;2014;060781010;02;CENTRE HOSPITALIER DE VALLAURIS;060000551;CENTRE DE LONG SEJOUR
ST;2014;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060001450;HOPITAL SAINT ROCH DU CHU DE NICE
ST;2014;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;HOPITAL PASTEUR DU CHU DE NICE
ST;2014;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060788957;HOPITAL DE CIMIEZ
ST;2014;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;HOPITAL DE L'ARCHET DU CHU DE NICE
ST;2014;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE
ST;2014;060790540;06;AGAHTIR;060010949;UNITE DE DIALYSE MEDICALISEE ANTIBES
ST;2014;060790540;06;AGAHTIR;060019676;AUTODIALYSE AGATHIR CH PETIT PARIS
ST;2014;060790540;06;AGAHTIR;060019684;AUTODIALYSE MENTON
ST;2014;060790540;06;AGAHTIR;060021276;HEMODIALYSE AMB AGATHIR
ST;2014;060790540;06;AGAHTIR;060792090;DIALYSE DOMICILE
ST;2014;060790540;06;AGAHTIR;060792736;AUTODIALYSE AGAHTIR
