BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2014;010000024;010780054;1;1;1;24075;23142;45705;1;;;;5653;159;5288;170;724;38;0;0;2;0;0;769;16960;85;0;0;848;0;2;2;7;;4;0;;;10;;1;2;2;13.17;;4.18;7;15;;;373;6520;0;0;0;0;0;0;2346;0;0;0;3;;;;2.8;;10;5;;;3;12;4;;;;16.54;7.97;;;3.08
CANCERO;2014;010000032;010780062;1;0;0;507;379;1031;0;730000031;;;428;0;367;0;54;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;010000065;010780096;1;0;0;18;0;302;0;690783220;;;18;0;3;0;14;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;010005239;010008407;1;0;0;100;51;415;0;010780054;;;14;;14;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;010780195;010000156;1;0;1;3776;3161;5098;1;;;;3029;0;2964;0;355;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;0;3173;0;0;0;0;0;0;0;0;0;0;;;1;5;0.2;1;2;;;;;1;;1;;;2.8;;0.5;;
CANCERO;2014;010780203;010006450;1;0;1;191;108;734;0;690781836;;;12;0;12;0;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;9;0;0;0;0;0;0;0;0;0;0;;;2;1;0.5;1;;;;;;;;;;;;;;;
CANCERO;2014;020000089;020000022;1;0;0;12;1;88;0;020000162;;;14;;0;;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;020000162;020000063;1;1;1;30205;28930;51739;1;;;;9387;0;8475;0;859;0;5;0;2;0;0;839;17117;99;0;0;797;0;3;3;14;0;6;0;0;0;0;0;2;3;3;11.21;0;6.29;21;30;0;0;839;9769;0;0;4;1;0;0;6417;0;16;0;5;3;0;0;4.3;;23;12;1;0;13;2;6;1;0;5;24.27;16.73;1.45;0;15.69
CANCERO;2014;020000360;020014742;0;0;0;371;153;852;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;020000394;020000253;1;0;0;1272;992;2668;1;;;;1083;0;984;0;130;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;020000519;020000261;1;0;1;4051;3763;2211;1;;;;3796;0;3739;0;423;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;;;443;3850;0;0;0;3;0;0;2347;0;0;0;3;;;;3;;11;7;;;8;2;1;;;1;12.79;7.8;;;8.8
CANCERO;2014;020000535;020000287;1;0;1;1639;1536;1102;1;;;;1407;0;1355;0;154;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;4;2;;;1;1.73;1.62;;;0.6
CANCERO;2014;020001061;020004404;1;0;0;81;45;350;0;;;;41;0;38;0;7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;020010047;020001632;1;0;1;2615;2197;3077;1;;;;3200;0;3210;0;351;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;0;3200;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.6;0.5;5;1;1;1;;;;;;;4;1;1;1;
CANCERO;2014;030000061;030780092;1;1;1;13326;12522;21029;1;;;;3634;0;3142;0;413;0;0;0;2;1;0;255;9167;970;0;0;459;0;3;2;6;1;1;0;0;1;3;0;1;3;2.5;7.7;1;1.5;;8;;;;3142;;;;;;;;;;;2;;;;2;;6;3;0;0;2;5;1;1;1;2;9.4;3.8;0.1;0.5;2
CANCERO;2014;030000079;030780100;1;0;1;2879;2493;2703;1;;;;2523;3;2377;3;270;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9;;;554;2827;0;0;0;0;0;0;3330;0;0;0;1;1;;;1;1.21;10;6;;;10;;2;;;;9.81;9.25;;;6.99
CANCERO;2014;030000087;030780118;1;0;1;4307;3653;3678;1;;;;3962;14;3580;18;458;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;4895;0;0;0;1;0;0;0;0;0;0;3;0;0;0;2.14;0;12;9;0;0;5;0;0;2;0;2;11.63;9.06;0.64;0;6.69
CANCERO;2014;030001689;030005821;0;1;0;15817;15817;15817;0;;;;;;;;;;;;2;;0;678;13729;1410;0;0;602;0;2;2;3;1;3;0;1;0;3;;;2.4;2;5.2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;030780548;030000194;0;0;0;237;62;1374;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;030781116;030000426;1;0;1;6974;6105;11524;1;;;;4231;0;5817;0;588;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;0;2580;0;0;0;0;0;0;0;0;0;0;3;1;;;3;1;12;10;1;1;1;;;;;;12;10;0.2;0.1;0.2
CANCERO;2014;030785430;030785422;1;0;1;2178;1766;2635;1;;;;1908;0;1685;0;144;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;0;2032;0;0;0;3;0;0;0;0;0;0;1;;;;1;;1;;;;;3;;;;;2;;;;
CANCERO;2014;040000093;040780215;1;0;1;4217;4033;1939;1;;;;4056;0;4015;0;371;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;4838;0;0;0;3;0;0;0;0;0;0;2;;0;;2;;1;;;;2;5;;1;;1;3.98;;0.1;;1.17
CANCERO;2014;040000135;050002948;1;0;0;9;0;56;1;130001647;;;5;0;0;0;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;040000911;040788879;1;0;1;1248;1130;869;1;;;;1195;0;1100;0;146;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;3;8;;;3;2115;0;0;0;3;0;0;6;0;0;0;;;;1;;0.1;;;;;;;;1;;1;;;0.5;;0.7
