BOR;AN;FI;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_F10;BLOCS_G10;BLOCS_H10;BLOCS_I10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_F11;BLOCS_G11;BLOCS_H11;BLOCS_I11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_F12;BLOCS_G12;BLOCS_H12;BLOCS_I12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_F13;BLOCS_G13;BLOCS_H13;BLOCS_I13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_F14;BLOCS_G14;BLOCS_H14;BLOCS_I14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15;BLOCS_F15;BLOCS_G15;BLOCS_H15;BLOCS_I15
BLOCS;2014;010000024;010780054;3;9;;2;2;0;;1;;0;;12;2;;2;1;;19;4;;5090;2908;7998;6619;;;;;;811;681;1492;764;;;;;;363;5;368;1;;;;;;195;27;222;0;;;;;;2573;2578;5151;2614;;;;;;12;51;63;0;;;;;
BLOCS;2014;010000032;010780062;1;2;2;0;0;0;0;1;1;0;0;3;3;0;1;1;;6;6;;1176;664;1840;1587;1792;1;0;1;1;325;144;469;138;13;4;12;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;475;967;729;716;0;0;0;0;0;3;3;2;3;0;0;0;0
BLOCS;2014;010005239;010008407;1;3;1;1;;1;;2;;0;;7;1;;1;;;10;;;1522;1595;3117;2358;;;;;;479;208;687;273;;;;;;15;0;15;0;;;;;;24;0;24;0;;;;;;656;863;1519;882;;;;;;1;4;5;0;;;;;
BLOCS;2014;010007300;010007292;1;1;0;0;0;0;0;1;0;0;0;2;0;2;1;0;1;5;0;5;0;660;660;529;;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;1859;1859;1009;;0;0;0;0;0;0;0;0;;;;;
BLOCS;2014;010780195;010000156;1;8;;0;;1;1;2;;0;;11;1;;1;;;14;;;6325;6301;12626;9552;;;;;;2;0;2;2;;;;;;809;3;812;699;;;;;;75;1;76;0;;;;;;1671;3568;5239;3188;;;;;;5;24;29;5;;;;;
BLOCS;2014;010780203;010006450;1;5;2;1;1;1;;1;;1;;9;3;;1;;;7;;;2803;2453;5256;4157;;0;0;18;3;280;67;347;255;;3;2;2;;0;0;0;0;;;;;;45;0;45;0;;;;;;882;1785;2667;1608;;;;;;0;20;20;4;;;;;
BLOCS;2014;020000162;020000063;3;13;13;1;1;2;2;6;1;0;0;22;17;0;1;1;0;24;24;0;7617;6384;14001;12312;3938;61;655;11;34;580;455;1035;631;47;5;20;0;2;726;8;734;479;0;4;4;2;4;265;407;672;0;2;0;62;0;1;3756;3175;6931;3136;2346;7;147;3;17;9;22;31;0;1817;0;1;0;0
BLOCS;2014;020000360;020014742;1;4;;;;;;1;;1;;6;;;1;;;8;;;1694;3784;5478;4004;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;488;1681;2169;1492;;;;;;2;2;4;1;;;;;
BLOCS;2014;020000394;020000253;1;4;1;1;;0;;0;;0;;5;1;2;1;1;;9;9;;2858;1451;4309;3263;3710;23;224;14;25;654;298;952;266;38;7;29;2;5;24;0;24;2;;;;;1;2;1;3;0;;;;;;1544;1004;2548;1449;1371;5;24;1;6;2;5;7;0;1;;;;
BLOCS;2014;020000519;020000261;2;4;1;1;1;1;1;2;;1;;9;3;;1;;;8;;;3961;1775;5736;4158;106;13;11;2;8;635;402;1037;334;0;48;52;19;12;132;0;132;0;;;;;;26;0;26;0;;;;;;1709;689;2398;1009;834;3;0;0;2;13;13;26;0;;;;;
