BOR;AN;FI;GRP;RS;FI_ET;RS_ET;FI_EJ
STB;2014;010000024;04;CH FLEYRIAT;;;010780054
STB;2014;010000032;04;CH DOCTEUR RECAMIER BELLEY;;;010780062
STB;2014;010000065;04;CH MONTPENSIER TREVOUX;010789576;USLD CH TREVOUX;010780096
STB;2014;010000081;04;CENTRE HOSPITALIER DU PAYS DE GEX;010789022;USLD HL GEX;010780112
STB;2014;010000099;04;CH DE MEXIMIEUX;;;010780120
STB;2014;010000107;04;CH DE PONT DE VAUX;;;010780138
STB;2014;010000115;04;CENTRE HOSPITALIER  PONT-DE-VEYLE;010788008;USLD HL PONT-DE-VEYLE;010009132
STB;2014;010000131;04;CENTRE HOSPITALIER  THOISSEY;;;010009132
STB;2014;010000180;04;CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE;;;010007987
STB;2014;010000198;04;CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.;;;010007987
STB;2014;010000214;04;CH PUBLIC HAUTEVILLE UNITÉ ALBARINE;;;010007987
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010002236;CMP ENFANTS SAINTE-MADELEINE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010002244;CATTP ADULTES BOURG-EN-BRESSE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010002251;HOPITAL DE JOUR - MONTREVEL-EN-BRESSE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010006286;CATTP ADULTES AMBERIEU-EN-BUGEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010006385;CATTP ENFANTS ST-MAURICE-DE-BEYNOST;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010006476;CMP ADULTES TREVOUX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007847;CATTP ADULTES TREVOUX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007854;CATTP ADULTES ESPLANADE;010783009
