BOR;AN;FI;FI_EJ;EQUIPSSR;EQPL;EQAU
SSR2;2014;010000032;010780062;EXPEQU;1;
SSR2;2014;010000032;010780062;EXPURO;;1
SSR2;2014;010000032;010780062;SALINT;;1
SSR2;2014;010000081;010780112;APTAUT;;1
SSR2;2014;010000081;010780112;ASSMAR;;1
SSR2;2014;010000081;010780112;ASSMEM;;1
SSR2;2014;010000081;010780112;EXPEQU;;1
SSR2;2014;010000081;010780112;EXPURO;;1
SSR2;2014;010000081;010780112;IDRACH;;1
SSR2;2014;010000081;010780112;ISOCIN;;1
SSR2;2014;010000081;010780112;LABMAR;;1
SSR2;2014;010000081;010780112;PISCIN;;1
SSR2;2014;010000081;010780112;SALINT;;1
SSR2;2014;010000081;010780112;SIMESP;;1
SSR2;2014;010000081;010780112;STICON;;1
SSR2;2014;010000081;010780112;VEHADP;1;
SSR2;2014;010000198;010007987;EXPEQU;1;
SSR2;2014;010000198;010007987;ISOCIN;1;
SSR2;2014;010000198;010007987;PISCIN;1;
SSR2;2014;010000214;010007987;APTAUT;1;
SSR2;2014;010000214;010007987;EXPEQU;1;
SSR2;2014;010002129;750056335;ISOCIN;;1
SSR2;2014;010002129;750056335;LABMAR;;1
SSR2;2014;010002129;750056335;PISCIN;1;
SSR2;2014;010009314;010780054;SIMESP;1;
SSR2;2014;010780278;010783009;EXPEQU;1;
SSR2;2014;010780278;010783009;LABMAR;1;
SSR2;2014;010780278;010783009;PISCIN;;1
SSR2;2014;010780278;010783009;SALINT;1;
SSR2;2014;010780278;010783009;SIMESP;1;
SSR2;2014;010780476;750005068;PISCIN;1;
SSR2;2014;010780799;750721334;EXPEQU;1;
SSR2;2014;010780799;750721334;ISOCIN;1;
SSR2;2014;010780799;750721334;LABMAR;1;
SSR2;2014;010780799;750721334;PISCIN;1;
SSR2;2014;010780799;750721334;SIMESP;1;
SSR2;2014;020000097;020000048;APTAUT;1;
SSR2;2014;020000097;020000048;ASSMAR;;1
SSR2;2014;020000097;020000048;ASSMEM;;1
SSR2;2014;020000097;020000048;EXPEQU;;1
SSR2;2014;020000097;020000048;EXPURO;;1
SSR2;2014;020000097;020000048;IDRACH;;1
SSR2;2014;020000097;020000048;ISOCIN;;1
SSR2;2014;020000097;020000048;LABMAR;;1
SSR2;2014;020000097;020000048;PISCIN;;1
SSR2;2014;020000097;020000048;SALINT;;1
SSR2;2014;020000097;020000048;SIMESP;;1
SSR2;2014;020000097;020000048;STICON;;1
SSR2;2014;020000097;020000048;VEHADP;;1
SSR2;2014;020000162;020000063;EXPURO;1;
SSR2;2014;020000162;020000063;PISCIN;1;
SSR2;2014;020000162;020000063;SALINT;1;
SSR2;2014;020000303;750814030;APTAUT;1;
SSR2;2014;020000303;750814030;ISOCIN;1;
SSR2;2014;020000303;750814030;PISCIN;1;
SSR2;2014;020000303;750814030;VEHADP;;1
SSR2;2014;020000535;020000287;SIMESP;1;
SSR2;2014;020000535;020000287;VEHADP;1;
SSR2;2014;020000915;020003620;EXPEQU;1;
SSR2;2014;020000915;020003620;PISCIN;1;
SSR2;2014;020000915;020003620;STICON;1;
SSR2;2014;020000915;020003620;VEHADP;1;
SSR2;2014;020003877;020000253;EXPURO;1;
SSR2;2014;030000012;030180020;APTAUT;1;
SSR2;2014;030000012;030180020;EXPEQU;1;
SSR2;2014;030000012;030180020;EXPURO;;1
SSR2;2014;030000012;030180020;PISCIN;1;
SSR2;2014;030000012;030180020;SIMESP;1;
